Code,Description,Employee Share,Employer Share,Applicable Gross,Gross Wages,Participants,Total SERS Pick-up,Total STRS Pick-up,Total STRS Advancement
001,FED TAX,"18,181.91",0.00,"273,558.57","346,143.56",168,0.00,0.00,0.00
002,OHIO,"6,378.24",0.00,"273,558.57","346,143.56",168,0.00,0.00,0.00
010,ROCKFORD,"3,232.52",0.00,"322,683.45","346,143.56",168,0.00,0.00,0.00
400,BD SERS,0.00,"13,193.86","94,242.16","93,777.41",82,0.00,0.00,0.00
450,BD STRS,0.00,"35,483.10","253,450.65","252,366.15",94,0.00,0.00,0.00

